location_id,district,latitude,longitude,population
81207,Huaro,-13.690277777777778,-71.64027777777778,5055
81208,Lucre,-13.633888888888889,-71.73666666666666,5510
81209,Marcapata,-13.591666666666667,-70.97500000000001,5008
81210,Ocongate,-13.626666666666667,-71.38833333333334,19224
81211,Oropesa,-13.594444444444445,-71.76305555555555,12583
81212,Quiquijana,-13.8225,-71.5425,12084
81301,Urubamba,-13.305555555555557,-72.11611111111111,24885
81302,Chinchero,-13.391944444444444,-72.04888888888888,12825
81303,Huayllabamba,-13.338055555555556,-72.065,6529
81304,Machupicchu,-13.154166666666667,-72.52555555555556,5761
81305,Maras,-13.3325,-72.1563888888889,6839
81306,Ollantaytambo,-13.258888888888889,-72.26333333333334,12061
81307,Yucay,-13.321666666666667,-72.08388888888888,3444
