wh_id,Cusco,Ccorca,Poroy,San Jerónimo,San Sebastián,Santiago,Saylla,Wanchaq,Acomayo,Acopia,Acos,Mosoc Llacta,Pomacanchi,Rondocán,Sangarara,Anta,Ancahuasi,Cachimayo,Chinchaypujio,Huarocondo,Limatambo,Mollepata,Pucyura,Zurite,Calca,Coya,Lamay,Lares,Pisac,San Salvador,Taray,Yanatile,Yanaoca,Checca,Kunturkanki,Langui,Layo,Pampamarca,Quehue,Túpac Amaru,Sicuani,Checacupe,Combapata,Marangani,Pitumarca,San Pablo,San Pedro,Tinta,Santo Tomás,Capacmarca,Chamaca,Colquemarca,Livitaca,Llusco,Quiñota,Velille,Espinar,Condoroma,Coporaque,Ocoruro,Pallpata,Pichigua,Suyckutambo,Alto Pichigua,Santa Ana,Echarate,Huayopata,Maranura,Ocobamba,Quellouno,Kimbiri,Santa Teresa,Vilcabamba,Pichari,Inkawasi,Villa Virgen,Villa Kintiarina,Megantoni,Kumpirushiato 1/,Cielo Punco 1/,Manitea 1/ 4/,Unión Ashaninka 1/,Paruro,Accha,Ccapi,Colcha,Huanoquite,Omacha,Paccaritambo,Pillpinto,Yaurisque,Paucartambo,Caicay,Challabamba,Colquepata,Huancarani,Kosñipata,Urcos,Andahuaylillas,Camanti,Ccarhuayo,Ccatca,Cusipata,Huaro,Lucre,Marcapata,Ocongate,Oropesa,Quiquijana,Urubamba,Chinchero,Huayllabamba,Machupicchu,Maras,Ollantaytambo,Yucay
160001,0.4551393683399444,11.423808885832056,7.421229467611171,10.868615271404876,4.894690450862585,1.0714819517406007,17.491673082880695,1.534175831983564,55.05391479812048,79.86643284401238,54.92391648391289,86.6090332679588,72.28464628899877,36.218518503028974,62.828616945590404,19.258888336013033,35.315326721847505,10.539004588511643,30.103158722542442,27.03589129383223,50.205458707308374,59.22981064256389,14.785488621371108,30.582983746334808,21.90492782691326,16.966186963257186,18.095472410785337,46.39949418090496,17.611053798666696,21.94713946510373,15.721030932638909,98.26931341127207,97.7517370569333,123.7074423814373,134.48699973463422,127.23075894454972,140.4486954502047,89.82869261405429,111.46585523087896,90.21657902969655,113.90604262517701,80.16775746884643,88.10488068745094,128.03110869674813,79.67860307573244,104.71412702409322,101.33978553646723,93.32914203480446,104.73495461878242,54.601391029004844,88.46235340479596,85.71067647950058,93.90408543038966,92.40457526149065,89.98166209519565,110.81394164514998,154.51941427995493,218.0876287295225,150.69372208081418,193.77532552835603,173.83362498923887,143.19216716918638,169.81747410374103,160.68338729220008,106.06830522111262,105.33573571824766,84.29634217454425,96.3644321615458,87.76273961446856,116.11870534686938,219.86431716872355,79.09121766433634,114.9446985649011,228.9712464457122,141.31918949263672,175.45791906019582,180.30404634418016,225.5987514451516,164.78752450472865,192.7260052473226,195.22388772236147,250.40894968788257,30.762145275879075,53.020077243076436,39.009560348944895,41.883075550903136,18.83265934065358,66.78849979671948,26.77488062814344,54.05963738157532,17.7298471416627,46.990765216843016,31.910383382330053,49.09637329486458,37.4219077791259,35.229646164425674,91.95529668204,42.79881910812666,37.01906500055324,136.32166409866937,63.33250591316768,46.075371359626,67.40934316327967,41.481430827459214,29.35417842320506,108.95804275400559,65.11241483614698,24.995032461667495,58.23154406823068,27.709075497332584,15.742783233920486,21.885164909324445,71.47697246560614,27.98786583641585,41.96385662857988,24.421556531236003
160002,11.452202102257239,0.06752517669474467,10.11954985078172,19.43220411974152,14.465327340884267,10.448952730698807,25.001844913515633,12.163285862528378,55.02775864488389,80.57474270827755,53.486958531183106,86.86987957488024,72.32504105479563,36.92724648466504,63.600018514929566,17.0508496279001,29.764114170489044,11.912722915365435,19.51356616941879,24.7116776403988,43.13306813335863,51.403643344459,13.037492751908848,25.674100356592685,31.33055112541274,28.024197300622422,28.642577267974822,53.425588856936834,28.950594346835366,31.969251284326255,27.072425569794223,103.13772715451198,97.53629997867043,122.0595172720667,133.18682361638292,126.78484188609872,140.4358082332779,89.9559281687224,109.8405491739209,90.03005043482837,115.17177045089545,81.65065328975373,88.9791029197727,128.82522341179995,82.04177840947307,105.64802923823908,102.18625258646571,93.98912791936537,96.64960809477311,47.39962767602043,82.89253400191915,77.9549908449121,90.24202373242044,83.94602388181575,81.26154717584296,104.53112924376828,151.32683337349994,215.01759830969556,146.64321602158566,191.45346344433855,171.60613338109826,140.47613083910295,164.56022908277373,158.6379384210979,105.6403120104194,106.67626405021564,83.87115935191686,95.29537199396843,89.72823822084531,118.41595335522224,215.92980493158993,76.8165478350113,111.09397175783593,225.40225449386827,134.5754009646213,170.13571715290863,175.4454243597039,228.56920628844966,162.77906304069336,188.30389778716085,190.83982244659137,247.38989356012314,30.120207357935254,49.50515609091634,29.979461737816692,40.560698577656645,11.693786959437434,64.0806177858396,22.065139494455686,52.16551411843358,17.417453318083567,58.09406748600804,39.1452212184783,60.4516740158414,48.52357377949944,44.612683532163054,103.26539687886569,48.21537099623875,42.32461450067279,146.4245721277988,71.22403470686845,53.5494624133533,69.95601664146747,46.711786641799115,35.225190256683874,117.12214207140558,72.59195624420279,31.963565089625963,61.7198785867407,31.628363081735884,21.430822160217847,27.405904434323297,69.57616418727294,29.94399175320217,42.43502042684404,29.347149538613046
160003,10.408142842405224,19.475645301505228,18.24613928872993,0.04307836452873104,5.939890484107157,10.912684900312753,6.711247476432553,9.300433976300154,47.00327398941205,70.97021448659099,47.913267567738366,77.91891822031174,63.879869106034576,28.385980913487867,54.100736335774684,30.077411437545404,46.10596964649924,21.320551102581884,38.91961107965295,37.79040891445403,60.848898832609,69.71984134501699,25.616554196464705,41.39770361963733,25.985547423439602,17.61348557773476,20.379660772709876,51.92854920538367,14.20965910198661,12.777731020452212,13.070902214424327,104.93944646206599,89.26923428923102,116.0167195216172,126.51162101034427,118.73775280378473,131.65337249255015,81.19352797921924,103.82691957660558,81.77194614489846,104.50998682263153,70.83989541562183,79.04770407400302,118.8294990740585,69.92032187532345,95.52811296264191,92.21758487986189,84.35680499158349,103.33457811618167,53.05888706216219,84.39205202345524,84.11266975084112,87.99718551590469,91.63204828481535,89.60180083174973,107.24174791917635,147.84616765376796,211.15982115245956,144.74287564693452,186.33763559058727,166.3739694566008,136.1921881450249,164.88906657809963,153.13030878353825,115.84032998825707,114.30322810632138,94.1509419753172,106.40266284541254,96.49191767371781,124.5018964810804,230.5273556076005,89.53405582599606,125.63972616206112,239.5631068802435,152.08976555984358,186.27989842990334,191.09554552563378,233.28101189993023,175.01206220906153,203.46850398376375,205.9609360015442,260.86981896081625,24.497634862059556,47.811479623618006,40.49792086177153,35.31247800132963,21.093719697051274,60.493790047721106,24.87385591755942,47.436931586913246,14.037872949412384,39.98344834329817,21.07932563692145,44.580991882972036,30.581408076520948,25.217780134809225,87.67586696589836,32.18846072183309,26.50405985318289,127.02922043575795,52.641705502726595,35.27900678509868,57.65815641990005,30.9364314911661,18.781061750078056,98.38521279388965,54.341415101174576,14.207222574600936,48.14801734152091,36.5348529995046,24.593893703342086,30.148120830617724,81.85377207316307,37.71597019256805,51.87297143793606,32.86323412441051
160004,4.431271231556818,14.51841490036737,12.27661957923757,6.014106432765514,0.043079610670966766,4.97665243195238,12.639378881593593,3.3241565679492857,51.24201116071352,75.75067165461567,51.53063182061845,82.58226227335936,68.36021221275575,32.41670237599341,58.76183392903182,24.112961856734806,40.13984605729151,15.374673693317995,33.843634259808546,31.864427272223764,54.94601396298848,63.88915610309098,19.641187504841835,35.42344231086187,23.311867040183635,16.513318313181475,18.494063742384572,48.758320457441215,15.359933630692781,17.66303292981784,13.67291419137845,101.26210280250474,93.81785267317206,120.11871943814839,130.7829252285099,123.30663379267305,136.40238255010198,85.8267376746253,107.89215496911234,86.29309270956486,109.6039740556497,75.87859413359357,83.92975551956,123.81282048575844,75.21813764828681,100.49474200026793,97.14506393440767,89.19159323185558,103.85510057479624,53.53095577825637,86.38659499317201,84.71253701268245,91.04756365621951,91.78564583413296,89.53394543451579,108.9848308656532,151.377429861103,214.85319360805798,147.860969575373,190.31681602809044,170.36104183236955,139.90567448527764,167.43640675154316,157.1672592683822,110.47466265849232,109.37921916152234,88.73412759505271,100.88779656412224,91.68931412890014,119.90185981970137,224.6626825844755,83.79124160810389,119.75438776660864,233.74088032402153,146.1339592280013,180.3137504223532,185.15094789638718,229.09297821927396,169.3999836036125,197.55522571170073,200.0510547818909,255.12458694376483,27.513602105383075,50.36366928362685,39.201224411646336,38.610456105393446,19.020362049914223,63.72259337990097,25.260829508355503,50.82181449331725,15.149671641838902,43.74436220443748,27.055578615639977,46.921826272336546,34.189414215457,30.71598974187673,90.00724051534546,38.00456021565276,32.25288417346486,132.18659007889391,58.55224836105709,41.24268146715367,62.944691708890204,36.708197116781605,24.563065342520776,104.23710107780657,60.29360040183804,20.144094685392016,53.63373770826784,31.578835228669533,19.53143898492579,25.426599268041976,76.1464250669811,32.31329717423787,46.40206247462018,28.07626449210709
160005,0.9689407810248378,10.553751227796548,7.497157347492765,10.959835019802686,5.015979947138155,0.061774959246933936,17.506816146568035,1.823840353062443,54.472825904140386,79.36679704429106,54.24367717649586,86.07917627899577,71.72776050050214,35.650601695642976,62.31832360119314,19.300036588314846,35.18366655760647,10.678201264274847,29.411865155492407,27.150655807657504,49.96328279180017,58.919760246765875,14.775221215627788,30.48867119576902,22.896307907787428,17.956969513719287,19.107954934282738,47.29846288380468,18.463044060108416,22.41286949642837,16.58848986341873,99.06740129327011,97.19182618661394,123.05417567880731,133.8606107175088,126.66426164547755,139.91805202315183,89.29052328369436,110.81050594800156,89.65501220091024,113.46852459578044,79.73061768909511,87.62377014529001,127.56012580688316,79.31550167598874,104.24616737493332,100.86336608001196,92.83404884997195,103.74827593453668,53.63090760097838,87.56921202419029,84.73136182121338,93.11340292809018,91.40746251037922,88.97895020213157,109.89339760974205,153.77123711374153,217.3538965802141,149.89345924336394,193.08814509418062,173.1504322282012,142.47224323927566,168.95308914594008,160.01056654477188,106.48684777384021,105.89237218375337,84.70334258606586,96.72568638825929,88.35789898336898,116.74951933966864,220.00277620902972,79.33843785623938,115.07048900543332,229.14442861179973,141.16585356828483,175.45721857650526,180.34965221605373,226.29282341305625,165.0907741242818,192.81535618038745,195.3171835848046,250.63386932258743,30.07644028220837,52.21082105025334,37.997698381499006,41.187516023596864,17.826483990018268,66.03966010857518,25.85610518963655,53.34840210263182,16.969676053588334,47.737320976850256,31.97408966851234,49.99371635137395,38.1652557043048,35.61185067130646,92.8830492973072,42.68013837151913,36.87290199483932,136.86629629146327,63.534127717249994,46.20340638778476,67.05142254985098,41.33963634800451,29.241747292925094,109.21651356413915,65.26349324224192,24.993733626906355,57.94775830239052,28.355500751781506,16.446715383066408,22.626113879186253,71.7497218503499,28.477028701866875,42.38618845955281,25.13027354007371
160006,17.105421817277037,25.125720444146697,24.958965860817415,6.712295452633518,12.645932319178803,17.538387592946727,0.06752849033875624,16.003633765399293,41.86684046203513,65.12765678239641,43.48820749947086,72.17926993252864,58.37311727861657,23.827624997678225,48.44284476808945,36.79662136361066,52.71104068313476,28.056130426641126,44.36585699662208,44.536350010058676,67.29680067175882,76.03207048329104,32.31087783502605,48.03929512830882,30.932677624494424,21.787736199026668,24.969815861254645,56.865163299251144,16.777353876808572,10.120000811049174,16.357415100673713,110.11641087593388,83.62307587487545,110.78185960399605,121.09266814627739,113.03194640900055,125.76342475142114,75.47743442122224,98.6492356632684,76.16898653252122,98.31839535300817,64.73992360880189,73.0865571263774,112.72917902187343,63.57682115810791,89.46275543170991,86.19321361918878,78.43330103991124,102.03189387584847,52.20044625239656,81.52582786626954,82.81376590534195,83.94591632817162,90.7946459140266,89.02481167677107,104.56139655085842,143.15927860890713,206.26045094866532,140.49207821442337,181.16451943941863,161.20547269654915,131.3301858709476,161.21939217288235,147.9217452387102,122.34965300948838,120.50085749920619,100.69966729405712,113.00623243933538,102.61129902916724,130.43931312597317,237.2780231048915,96.25293281766506,132.39221035917734,246.304835846902,158.6405662183966,192.99396260159725,197.83411916847157,238.81901987928268,181.6624804868827,210.219152003117,212.7121335467333,267.5837577715961,21.45849355417636,44.6346764714987,41.86943809586942,31.487607536139794,24.103941417194303,56.39449948523928,25.028835044288417,43.28948593596031,14.650370632723746,37.50395594479118,14.438571622014457,43.92104272391677,28.606270918640245,20.08419984813017,86.57663521524333,25.466892589263875,19.838306408644268,121.98555995658882,46.2936763650424,28.764831611232353,51.34459432481722,24.244861763806586,12.111644527888943,92.14550312576863,47.854960205047554,7.46040986649301,41.66747128947191,42.883440702865784,31.06912449308045,36.39780406032084,88.55946348393175,44.30556700293865,58.47770370602244,39.13167129048347
160007,0.6671612842957194,11.981079719803004,8.507462694123555,9.78450641282686,3.8092157936913558,1.499006048688668,16.40540457134049,0.44790730446663884,54.16243902326951,78.9176974561887,54.11723043444027,85.67885213688744,71.37369109203168,35.32157333609082,61.88770914151512,20.345157816668895,36.388033408345606,11.622551947361078,30.885187555475866,28.118909927343637,51.25396959750999,60.25666205838823,15.869913132141525,31.660968650029982,22.17486389100773,16.78478096934488,18.113590719530567,46.929844354667544,17.048698312039825,20.986177700685044,15.18833975577378,98.95808832521796,96.84135729568987,122.8702668805826,133.62628826706032,126.3240229113162,139.51724853243576,88.90381577185933,110.63100402885073,89.30773497226812,112.92170211800723,79.18440476041725,87.14484252287515,127.06412663583336,78.6615700653602,103.7460796365885,100.37655739510322,92.37701623210106,104.47896963311855,54.28638046463568,87.94242242110964,85.42449327688006,93.2182710398393,92.2036579592384,89.81807691269304,110.35125081003147,153.7782076492588,217.32888613828547,150.01831787175246,192.96833881057108,173.02307768305337,142.4197094592251,169.24036226436266,159.86319272418322,107.06729089240123,106.25662042832562,85.30122860051753,97.38783615557266,88.65688739585981,116.98343733711066,220.94296522449298,80.15063125620786,116.02514101029774,230.04478364179485,142.38964049716765,176.54398272623214,181.3899460683581,226.4040958685635,165.83022588232518,193.80965361378338,196.3072307269909,251.47236552201218,29.968781662434257,52.365022262214175,38.958861320408644,41.094750967847524,18.724869660313846,66.0531170262282,26.328057213238758,53.28449224416574,17.03408595516214,46.270703464921674,30.826351864292427,48.613014731934115,36.69829339715279,34.22729102362581,91.53861641654906,41.71967913176856,35.94411074812002,135.4147020000018,62.270184849593015,44.99875747495495,66.39080427919264,40.40553970716823,28.275021802198953,107.91138629559099,64.03991008614996,23.90877895890029,57.187247053521105,28.57359551767257,16.568444409510988,22.66370619196103,72.5300220285737,28.959475663034457,42.965160592969276,25.23135057591179
160008,19.306390734290353,16.405769959074995,11.45831398884989,29.742322323491038,23.7713114200761,18.91142150306264,36.364575567873224,20.41009631188908,71.15281107386896,96.57755454263388,69.84960463696854,103.0046143843175,88.4849448122364,52.723422598363975,79.53840596379645,0.6732119550223404,16.776826568788614,8.468258562970641,20.738136422579142,8.526604399944672,32.16014728138543,41.60867320578783,4.121140399539519,11.92688799715961,25.975272191932618,28.112212861753196,26.717921476279248,41.43916712545195,32.29081347852642,39.83349864674092,30.423088970916183,88.10517072400151,113.78803286718986,138.47305200245853,149.58953452458783,143.0974140796842,156.67991578960655,106.12688767927776,126.2523637064959,106.26768318327836,131.04937540810843,97.39714220483458,104.94799811520484,144.86524217526951,97.41847662787593,121.62301819097772,118.18354715954537,110.02950228316418,110.26595405200743,62.39799943696023,98.51752632674948,92.07668658862535,106.48801568900181,97.23423282420192,94.2409249053905,119.65768974934548,167.60518088523037,231.2933842966189,162.716343913941,207.83766035049126,188.00088300787058,156.83259596876923,180.13040947440467,175.0448243427015,89.31720154214797,90.29415614730387,67.52659873997888,79.097865395915,73.46601313889816,102.1811517120436,201.2179897018822,61.011392138128585,96.27283392606188,210.44285092655858,122.6580086688579,156.58258676680677,161.46155942390217,212.42557218450426,146.96143002897014,173.9547244137258,176.46088109723286,232.1005807496657,46.216585682815975,65.86559807961841,43.84161119184048,56.869248880241436,27.931264073481586,80.4838333206153,38.442153853535686,68.56331620661632,33.10319365620615,61.57789589557541,50.78079332421507,60.48398432970779,52.353112163765424,53.31718052949498,101.28582539768249,61.53993093269426,55.7086597077971,152.73447474247752,81.97938796136172,64.88352501414037,85.21139756642746,60.17678747070584,48.113266310049035,127.37709745166477,83.87049258177184,43.86460978151804,76.43863052823625,17.86665127376987,13.169689427948754,16.47309057149274,53.59359011685925,14.623532587136019,26.072811464864117,17.146920839098424
160009,35.66288568085537,29.673210496522078,27.942361419951897,46.083068848854296,40.11664913220787,35.13832631876499,52.60167709921136,36.77138112218372,84.14375383536643,109.77704300868082,81.88332323866504,115.8273900735106,101.28445445537184,66.49430407187609,92.93750691007806,16.521783224072717,0.060078862426732604,25.125948922234034,20.511547103042535,11.039132419740067,15.61128541481726,25.26861808578268,20.597312195369376,4.808803488035821,40.24388424773468,44.18120425665719,42.31851864714446,48.02155490826384,48.80814133807694,56.54192220501122,46.97861440128019,86.27399230740306,126.15425329507516,149.3794261731532,160.75139546612797,155.07762814383875,168.97125894159555,118.82323244064999,137.2832462346833,118.71911639674079,144.4624608679016,111.11891470441603,118.205576640747,157.86777789759094,111.69677877822386,134.83099103885272,131.343919094061,123.09886080710191,113.23437571196376,69.09975795852098,105.70489827361601,96.26716679077516,115.73240031613565,99.93464475306115,96.5385150742304,125.3525036198687,176.66454581701194,240.1552637214263,170.79662048361797,217.65209287048793,198.0084757783382,166.5040799523098,186.471777357313,185.3131648217592,78.61468047012676,82.24800858955973,57.346025345215565,67.66995171288066,67.0264525122955,95.39241826594775,186.2257672124661,48.25912283917305,81.43645068271283,195.7406059580468,106.0658408167716,140.63684169324293,145.80569098186135,205.47215283840083,133.83513922094082,158.60162487273305,161.13508684570564,217.8564565741303,59.4768453806056,76.35939253395696,49.91001841530418,69.35176735457264,39.433409612011545,91.22151644530159,49.856305351578335,80.28762639555362,47.11673266326808,77.67526718576848,67.08765511495612,75.47714669550595,68.63444253633098,70.02289715931369,114.62874692154872,77.33344878368246,71.45006043948483,169.1222358519279,98.56241018032492,81.32362547550163,99.64746259703733,75.89980328936656,64.01603513770088,144.05538253022863,100.36867627340489,60.05041677136023,91.40463067468944,26.10204139315073,28.14159280387892,28.692673793473187,41.591141070244,20.84675660946661,22.412922043037028,27.840627682257203
160010,10.403653190593957,12.111615519526985,2.783982781926916,20.73555924308135,14.80910465891708,10.181628966693603,27.396211997477607,11.479792099916873,64.06024415625043,89.18791620892512,63.38077944158236,95.80643182424159,81.37694101435396,45.33526569929673,72.12370791689096,9.467107861176105,25.915664540394914,0.7814314496689312,25.19808171239148,17.096885328131425,41.182788171734984,50.504877637996415,5.327377277113065,21.08438014157451,20.698331875537665,20.298685899469508,19.655800698045333,41.36945056019943,23.672769944041267,30.689135427193623,21.75462468723226,91.33370297520915,106.80886033285753,132.23393672371958,143.1725272306764,136.24133643642182,149.61969529817216,98.98863269006708,119.98825297128272,99.27121155070982,123.42614465252494,89.6984001439717,97.4893307603285,137.43859431006197,89.39825415689289,114.13804592206813,110.73548675098218,102.66036387205251,108.71506318121436,59.43557353833085,94.66770299884234,90.03728234155722,101.3664450793523,95.97511267969684,93.24659208268943,116.48526397989268,162.30888909695807,225.97239939067748,157.98121499680897,202.03595682801307,182.1305800648294,151.22714494462613,176.30707976906078,169.05909632031032,96.54077424710022,96.405901562275,74.73891864110557,86.67240707935143,79.07708905902444,107.63399918571969,209.9086913003398,69.19132384980985,104.99127669675829,219.0196254192046,131.83047901805656,165.61244544065258,170.39974774432199,217.52571923085762,154.96686109511145,182.78631762397066,185.28197589625964,240.48690991463948,39.31727322430032,60.441772140156246,42.003955864061744,50.29735553930647,23.40431110929335,74.70209252117746,33.20626779664715,62.30889492268543,26.025161852711218,53.309067959017625,41.73188542763074,53.30121531441166,43.92342599322678,44.16785626858176,95.13290535818187,52.75407441268861,46.97374343206816,144.0440254588807,72.81206590309014,55.761606713831334,77.14228321217597,51.43674777837236,39.30940555516081,118.21029679592236,74.72344374044464,34.89993593036903,68.09037529989234,19.819909644676578,9.43428073629028,15.323754453035058,61.610802181777416,18.930865487616288,32.50517026721337,17.30611098654914
